layer,head,value
0,0,0.084472656
0,1,0.16992188
0,2,0.029785156
0,3,0.06738281
0,4,0.022094727
0,5,0.45507812
0,6,0.047607422
0,7,0.095214844
0,8,0.48828125
0,9,0.28515625
0,10,0.00031852722
0,11,0.17578125
0,12,0.07519531
0,13,0.083496094
0,14,0.025268555
0,15,0.013549805
1,0,0.16210938
1,1,0.17382812
1,2,0.10595703
1,3,0.17089844
1,4,0.2890625
1,5,0.04345703
1,6,0.09033203
1,7,0.4765625
1,8,0.03125
1,9,0.123535156
1,10,0.18945312
1,11,0.14160156
1,12,0.14648438
1,13,0.19824219
1,14,0.1640625
1,15,0.18066406
2,0,0.0008544922
2,1,0.578125
2,2,2.8252602e-05
2,3,7.5399876e-06
2,4,0.007598877
2,5,0.025756836
2,6,0.03100586
2,7,0.19140625
2,8,0.017089844
2,9,0.21582031
2,10,2.9206276e-05
2,11,0.0019836426
2,12,3.4458935e-07
2,13,0.0069885254
2,14,0.08105469
2,15,0.05029297
3,0,0.017456055
3,1,0.026000977
3,2,0.15136719
3,3,0.11767578
3,4,0.203125
3,5,0.14648438
3,6,0.12597656
3,7,0.20214844
3,8,0.10107422
3,9,0.122558594
3,10,0.13671875
3,11,0.16503906
3,12,0.023803711
3,13,0.06982422
3,14,0.16210938
3,15,0.18261719
4,0,0.036376953
4,1,0.08886719
4,2,0.015991211
4,3,0.06201172
4,4,0.11669922
4,5,0.16796875
4,6,0.008117676
4,7,0.033447266
4,8,0.09472656
4,9,0.20410156
4,10,4.9591064e-05
4,11,7.8201294e-05
4,12,0.23144531
4,13,0.22753906
4,14,0.017456055
4,15,0.018554688
5,0,0.016845703
5,1,0.13476562
5,2,0.17578125
5,3,0.008422852
5,4,0.12695312
5,5,0.0001707077
5,6,0.53125
5,7,0.17382812
5,8,0.032958984
5,9,0.08154297
5,10,0.005645752
5,11,0.0047912598
5,12,0.07763672
5,13,0.025268555
5,14,0.020507812
5,15,1.1697412e-06
6,0,0.30859375
6,1,0.14160156
6,2,0.34765625
6,3,0.33984375
6,4,0.13769531
6,5,0.00065612793
6,6,0.001739502
6,7,0.10595703
6,8,0.19628906
6,9,0.10498047
6,10,0.20117188
6,11,0.122558594
6,12,0.14550781
6,13,0.15429688
6,14,0.140625
6,15,0.099121094
7,0,0.10595703
7,1,0.100097656
7,2,0.000667572
7,3,0.00032615662
7,4,0.16699219
7,5,0.16503906
7,6,0.09326172
7,7,0.3203125
7,8,0.15917969
7,9,0.106933594
7,10,0.12890625
7,11,0.099609375
7,12,0.23535156
7,13,0.1484375
7,14,0.26953125
7,15,0.46289062
8,0,0.110839844
8,1,0.12792969
8,2,0.13671875
8,3,0.11328125
8,4,0.45703125
8,5,0.056396484
8,6,0.09716797
8,7,0.04711914
8,8,0.18261719
8,9,0.29296875
8,10,0.068359375
8,11,0.110839844
8,12,0.12988281
8,13,0.08984375
8,14,0.13671875
8,15,0.13378906
9,0,0.21289062
9,1,0.36328125
9,2,0.11035156
9,3,0.09667969
9,4,0.32226562
9,5,0.66015625
9,6,0.06201172
9,7,0.19042969
9,8,0.16113281
9,9,5.7697296e-05
9,10,0.11425781
9,11,0.1640625
9,12,0.37304688
9,13,0.052246094
9,14,0.14746094
9,15,0.080078125
10,0,0.15429688
10,1,0.13378906
10,2,0.122558594
10,3,0.10888672
10,4,0.06689453
10,5,0.05810547
10,6,0.15136719
10,7,0.12890625
10,8,0.084472656
10,9,0.080078125
10,10,0.07519531
10,11,0.41210938
10,12,0.055664062
10,13,0.036376953
10,14,0.32226562
10,15,0.12792969
11,0,0.038330078
11,1,0.36523438
11,2,0.06225586
11,3,0.12207031
11,4,0.26757812
11,5,0.37890625
11,6,0.5390625
11,7,0.12792969
11,8,0.765625
11,9,0.8671875
11,10,0.08642578
11,11,0.14355469
11,12,0.18945312
11,13,0.021240234
11,14,0.09716797
11,15,0.13769531
12,0,0.13671875
12,1,0.38085938
12,2,0.42578125
12,3,0.50390625
12,4,0.15527344
12,5,0.421875
12,6,0.52734375
12,7,0.104003906
12,8,0.07421875
12,9,0.09863281
12,10,0.60546875
12,11,0.19238281
12,12,0.35742188
12,13,0.47851562
12,14,0.0859375
12,15,0.111816406
13,0,0.10205078
13,1,0.12207031
13,2,0.29492188
13,3,0.1015625
13,4,0.26953125
13,5,0.27734375
13,6,0.31640625
13,7,0.15527344
13,8,0.16992188
13,9,0.09667969
13,10,0.103027344
13,11,0.14355469
13,12,0.14746094
13,13,0.10888672
13,14,0.21484375
13,15,0.15039062
14,0,0.51953125
14,1,0.63671875
14,2,0.048095703
14,3,0.044433594
14,4,0.35546875
14,5,0.4765625
14,6,0.09716797
14,7,0.13769531
14,8,0.41601562
14,9,0.47265625
14,10,0.07910156
14,11,0.10888672
14,12,0.46484375
14,13,0.43164062
14,14,0.6328125
14,15,0.7109375
15,0,0.26171875
15,1,0.15527344
15,2,0.2734375
15,3,0.43359375
15,4,0.28710938
15,5,0.22949219
15,6,0.62109375
15,7,0.765625
15,8,0.063964844
15,9,0.11035156
15,10,0.17675781
15,11,0.18847656
15,12,0.41796875
15,13,0.265625
15,14,0.43164062
15,15,0.58203125
16,0,0.09033203
16,1,0.063964844
16,2,0.328125
16,3,0.40429688
16,4,0.30859375
16,5,0.33789062
16,6,0.15917969
16,7,0.078125
16,8,0.18945312
16,9,0.10058594
16,10,0.12060547
16,11,0.061279297
16,12,0.15234375
16,13,0.203125
16,14,0.17773438
16,15,0.41601562
17,0,0.51953125
17,1,0.40039062
17,2,0.7890625
17,3,0.46875
17,4,0.047851562
17,5,0.06591797
17,6,0.05834961
17,7,0.02746582
17,8,0.08691406
17,9,0.3203125
17,10,0.79296875
17,11,0.8984375
17,12,0.5390625
17,13,0.6328125
17,14,0.19726562
17,15,0.23925781
18,0,0.375
18,1,0.515625
18,2,0.31835938
18,3,0.1953125
18,4,0.041748047
18,5,0.10058594
18,6,0.09765625
18,7,0.059570312
18,8,0.36914062
18,9,0.4765625
18,10,0.39257812
18,11,0.27539062
18,12,0.23632812
18,13,0.034423828
18,14,0.59375
18,15,0.32226562
19,0,0.80859375
19,1,0.33789062
19,2,0.20410156
19,3,0.064453125
19,4,0.37695312
19,5,0.625
19,6,0.32421875
19,7,0.44140625
19,8,0.6953125
19,9,0.71484375
19,10,0.703125
19,11,0.65234375
19,12,0.42578125
19,13,0.52734375
19,14,0.59375
19,15,0.453125
20,0,0.51171875
20,1,0.23144531
20,2,0.41992188
20,3,0.4140625
20,4,0.7421875
20,5,0.47460938
20,6,0.6015625
20,7,0.34765625
20,8,0.50390625
20,9,0.47070312
20,10,0.42578125
20,11,0.55078125
20,12,0.1015625
20,13,0.14257812
20,14,0.16113281
20,15,0.18457031
21,0,0.5
21,1,0.43359375
21,2,0.12890625
21,3,0.18847656
21,4,0.20996094
21,5,0.23339844
21,6,0.47460938
21,7,0.18554688
21,8,0.30273438
21,9,0.25585938
21,10,0.71484375
21,11,0.3046875
21,12,0.48046875
21,13,0.43164062
21,14,0.25976562
21,15,0.40625
22,0,0.56640625
22,1,0.69140625
22,2,0.14453125
22,3,0.08544922
22,4,0.42773438
22,5,0.52734375
22,6,0.18457031
22,7,0.29101562
22,8,0.2734375
22,9,0.65625
22,10,0.56640625
22,11,0.49609375
22,12,0.103515625
22,13,0.095703125
22,14,0.47070312
22,15,0.14160156
23,0,0.09863281
23,1,0.07080078
23,2,0.6171875
23,3,0.90625
23,4,0.78515625
23,5,0.8046875
23,6,0.5546875
23,7,0.8515625
23,8,0.8359375
23,9,0.17871094
23,10,0.66796875
23,11,0.734375
23,12,0.14941406
23,13,0.2734375
23,14,0.03857422
23,15,0.034423828
24,0,0.5859375
24,1,0.40625
24,2,0.25390625
24,3,0.16113281
24,4,0.375
24,5,0.390625
24,6,0.20605469
24,7,0.07080078
24,8,0.62109375
24,9,0.30664062
24,10,0.15234375
24,11,0.031982422
24,12,0.13378906
24,13,0.22851562
24,14,0.091796875
24,15,0.11279297
25,0,0.21972656
25,1,0.110839844
25,2,0.06201172
25,3,0.072265625
25,4,0.13671875
25,5,0.08154297
25,6,0.119628906
25,7,0.100097656
25,8,0.16113281
25,9,0.26367188
25,10,0.096191406
25,11,0.12451172
25,12,0.51171875
25,13,0.38671875
25,14,0.62890625
25,15,0.26171875
26,0,0.546875
26,1,0.42773438
26,2,0.28710938
26,3,0.3203125
26,4,0.44921875
26,5,0.65234375
26,6,0.64453125
26,7,0.095214844
26,8,0.060546875
26,9,0.06933594
26,10,0.76953125
26,11,0.6953125
26,12,0.55859375
26,13,0.4296875
26,14,0.62109375
26,15,0.375
27,0,0.05053711
27,1,0.114746094
27,2,0.091796875
27,3,0.11767578
27,4,0.41992188
27,5,0.75
27,6,0.3046875
27,7,0.5234375
27,8,0.22265625
27,9,0.18164062
27,10,0.5390625
27,11,0.35742188
27,12,0.17480469
27,13,0.087402344
27,14,0.26171875
27,15,0.123046875
28,0,0.796875
28,1,0.5078125
28,2,0.047851562
28,3,0.07421875
28,4,0.13574219
28,5,0.091796875
28,6,0.43945312
28,7,0.35742188
28,8,0.083984375
28,9,0.080566406
28,10,0.59375
28,11,0.75390625
28,12,0.38476562
28,13,0.13671875
28,14,0.25585938
28,15,0.23046875
29,0,0.34179688
29,1,0.85546875
29,2,0.29296875
29,3,0.6484375
29,4,0.076171875
29,5,0.04248047
29,6,0.037109375
29,7,0.068359375
29,8,0.67578125
29,9,0.55078125
29,10,0.58984375
29,11,0.53515625
29,12,0.064453125
29,13,0.0859375
29,14,0.06738281
29,15,0.049072266
30,0,0.076660156
30,1,0.100097656
30,2,0.34960938
30,3,0.2734375
30,4,0.16503906
30,5,0.65625
30,6,0.09326172
30,7,0.08935547
30,8,0.09716797
30,9,0.106933594
30,10,0.09326172
30,11,0.047851562
30,12,0.106933594
30,13,0.024902344
30,14,0.11279297
30,15,0.122558594
31,0,0.068359375
31,1,0.07910156
31,2,0.10253906
31,3,0.14355469
31,4,0.21191406
31,5,0.15722656
31,6,0.6328125
31,7,0.10595703
31,8,0.13378906
31,9,0.046875
31,10,0.067871094
31,11,0.0703125
31,12,0.27539062
31,13,0.72265625
31,14,0.07519531
31,15,0.08154297
32,0,0.080078125
32,1,0.14453125
32,2,0.076171875
32,3,0.104003906
32,4,0.05053711
32,5,0.067871094
32,6,0.18164062
32,7,0.484375
32,8,0.091308594
32,9,0.08691406
32,10,0.29296875
32,11,0.13476562
32,12,0.06591797
32,13,0.07470703
32,14,0.49414062
32,15,0.359375
33,0,0.08642578
33,1,0.29492188
33,2,0.29882812
33,3,0.15722656
33,4,0.1875
33,5,0.109375
33,6,0.072753906
33,7,0.063964844
33,8,0.06933594
33,9,0.044189453
33,10,0.09423828
33,11,0.057861328
33,12,0.20605469
33,13,0.22949219
33,14,0.19335938
33,15,0.12060547
34,0,0.09033203
34,1,0.05029297
34,2,0.0859375
34,3,0.05419922
34,4,0.064941406
34,5,0.057617188
34,6,0.061035156
34,7,0.068847656
34,8,0.07080078
34,9,0.078125
34,10,0.05908203
34,11,0.061279297
34,12,0.60546875
34,13,0.13867188
34,14,0.10253906
34,15,0.063964844
35,0,0.072265625
35,1,0.43554688
35,2,0.34375
35,3,0.58984375
35,4,0.10546875
35,5,0.13769531
35,6,0.26367188
35,7,0.3828125
35,8,0.390625
35,9,0.25976562
35,10,0.39648438
35,11,0.087890625
35,12,0.59765625
35,13,0.546875
35,14,0.012939453
35,15,0.010803223
36,0,0.58984375
36,1,0.30078125
36,2,0.55078125
36,3,0.59375
36,4,0.16113281
36,5,0.66015625
36,6,0.13671875
36,7,0.28515625
36,8,0.07324219
36,9,0.092285156
36,10,0.092285156
36,11,0.07080078
36,12,0.056640625
36,13,0.044433594
36,14,0.091308594
36,15,0.15527344
37,0,0.06689453
37,1,0.06591797
37,2,0.08935547
37,3,0.06640625
37,4,0.0703125
37,5,0.068359375
37,6,0.08642578
37,7,0.07861328
37,8,0.052246094
37,9,0.057373047
37,10,0.087890625
37,11,0.09423828
37,12,0.07763672
37,13,0.07128906
37,14,0.083984375
37,15,0.07128906
38,0,0.078125
38,1,0.088378906
38,2,0.07128906
38,3,0.0625
38,4,0.060302734
38,5,0.080566406
38,6,0.25976562
38,7,0.6015625
38,8,0.6875
38,9,0.12792969
38,10,0.37109375
38,11,0.21484375
38,12,0.44726562
38,13,0.43164062
38,14,0.25585938
38,15,0.578125
39,0,0.2890625
39,1,0.09863281
39,2,0.07861328
39,3,0.076171875
39,4,0.067871094
39,5,0.053466797
39,6,0.061523438
39,7,0.05029297
39,8,0.091308594
39,9,0.09082031
39,10,0.06591797
39,11,0.07324219
39,12,0.16113281
39,13,0.07519531
39,14,0.080566406
39,15,0.08105469
40,0,0.05517578
40,1,0.087890625
40,2,0.04321289
40,3,0.07324219
40,4,0.07910156
40,5,0.0546875
40,6,0.051513672
40,7,0.060058594
40,8,0.032958984
40,9,0.07080078
40,10,0.19042969
40,11,0.14941406
40,12,0.049072266
40,13,0.06738281
40,14,0.040771484
40,15,0.044921875
41,0,0.23339844
41,1,0.21972656
41,2,0.32226562
41,3,0.3984375
41,4,0.18261719
41,5,0.30273438
41,6,0.022338867
41,7,0.028076172
41,8,0.6484375
41,9,0.3203125
41,10,0.03857422
41,11,0.14941406
41,12,0.25195312
41,13,0.20117188
41,14,0.19042969
41,15,0.10107422
42,0,0.578125
42,1,0.26171875
42,2,0.099609375
42,3,0.13769531
42,4,0.037597656
42,5,0.06933594
42,6,0.3671875
42,7,0.061767578
42,8,0.1328125
42,9,0.1328125
42,10,0.05517578
42,11,0.088378906
42,12,0.484375
42,13,0.2578125
42,14,0.0703125
42,15,0.056152344
43,0,0.40429688
43,1,0.06640625
43,2,0.30078125
43,3,0.3671875
43,4,0.048339844
43,5,0.063964844
43,6,0.140625
43,7,0.27734375
43,8,0.095214844
43,9,0.03955078
43,10,0.056640625
43,11,0.05444336
43,12,0.15332031
43,13,0.49609375
43,14,0.078125
43,15,0.09765625
44,0,0.30078125
44,1,0.40625
44,2,0.24316406
44,3,0.083496094
44,4,0.4765625
44,5,0.31835938
44,6,0.20605469
44,7,0.06640625
44,8,0.06225586
44,9,0.056884766
44,10,0.578125
44,11,0.265625
44,12,0.053222656
44,13,0.05883789
44,14,0.059570312
44,15,0.048095703
45,0,0.34765625
45,1,0.58984375
45,2,0.28710938
45,3,0.5625
45,4,0.072265625
45,5,0.08935547
45,6,0.07910156
45,7,0.047851562
45,8,0.046142578
45,9,0.04711914
45,10,0.09667969
45,11,0.049560547
45,12,0.07861328
45,13,0.087890625
45,14,0.06689453
45,15,0.063964844
46,0,0.087890625
46,1,0.014038086
46,2,0.05908203
46,3,0.047851562
46,4,0.47265625
46,5,0.24902344
46,6,0.040527344
46,7,0.050048828
46,8,0.24707031
46,9,0.12011719
46,10,0.24707031
46,11,0.40625
46,12,0.057373047
46,13,0.125
46,14,0.125
46,15,0.04711914
47,0,0.048828125
47,1,0.12060547
47,2,0.1953125
47,3,0.140625
47,4,0.171875
47,5,0.003768921
47,6,0.1796875
47,7,0.29101562
47,8,0.037109375
47,9,0.011474609
47,10,0.18359375
47,11,0.13671875
47,12,0.031982422
47,13,0.023925781
47,14,0.17382812
47,15,0.15332031
